QRIE Report — Punjab National Bank
Generated: 2026-03-30 14:21:56

═══ Asset Inventory Report ═══

Total Assets,451

asset,ip,port,asset_type,tls_version,cipher_suite,key_exchange,key_size,pfs_status,issuer_ca,valid_to,scan_status,hei_score,risk_category
digivishwakarma.pnbuat.bank.in,2001:df1:1580::224:28,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-02T23:59:59+00:00,ok,35.0,Moderate
digivkyc.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
digivkyc.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
digivl.pnb.bank.in,103.109.225.211,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-12T23:59:59+00:00,ok,35.0,Moderate
digivl.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
digivl.pnbuat.bank.in,103.109.225.83,443,Web Application,TLSv1.3,TLS_AES_256_GCM_SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-02T23:59:59+00:00,ok,45.0,Moderate
dpip.pnb.bank.in,103.109.224.102,443,Domain,,,,,Unknown,—,,error,80.0,Critical
drm.pnb.bank.in,103.109.224.97,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,Thawte TLS RSA CA G1,2026-09-11T23:59:59+00:00,ok,45.0,Moderate
drms.pnb.bank.in,1.7.88.227,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
dsj.pnb.bank.in,103.109.225.100,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2027-01-25T06:06:12+00:00,ok,45.0,Moderate
dsj.pnbuat.bank.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
eboard.pnb.bank.in,103.109.225.184,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-21T23:59:59+00:00,ok,45.0,Moderate
eboard.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
eboard.pnbuat.bank.in,103.109.224.7,443,Web Server,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-17T23:59:59+00:00,ok,35.0,Moderate
eboardtest.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
edge.pnb.bank.in,103.122.156.66,443,Web Application,TLSv1.3,TLS_AES_256_GCM_SHA384,ECDHE,4096,Yes,GeoTrust EV RSA CA G2,2026-08-27T23:59:59+00:00,ok,45.0,Moderate
egodam.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
egstxp.pnb.bank.in,2001:df1:1580::225:a1,443,Api,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-12T23:59:59+00:00,ok,35.0,Moderate
